itemid,categoryid,parentid,available
110597,342,500.0,1.0
320494,819,798.0,1.0
284745,984,827.0,0.0
227011,1542,745.0,1.0
12555,342,500.0,1.0
420028,973,20.0,1.0
466,196,1667.0,1.0
355785,1483,561.0,0.0
310908,64,206.0,0.0
427775,1472,605.0,1.0
317296,1277,312.0,1.0
382539,1509,620.0,1.0
275937,1613,250.0,1.0
89819,769,587.0,1.0
66187,646,1606.0,0.0
14524,51,955.0,0.0
224832,1192,955.0,0.0
428268,1384,1458.0,1.0
170195,124,104.0,1.0
309778,683,1606.0,1.0
115323,1325,1684.0,1.0
390857,1343,25.0,1.0
352932,1320,879.0,1.0
36635,1262,1658.0,0.0
85218,84,1308.0,0.0
406025,1163,561.0,1.0
329028,1091,573.0,1.0
286165,1035,920.0,0.0
191203,1219,121.0,1.0
387265,959,1095.0,1.0
434825,1135,1329.0,0.0
125079,1172,810.0,0.0
245818,48,500.0,0.0
263970,1,854.0,0.0
302483,1192,955.0,0.0
108174,619,145.0,0.0
190296,1279,1606.0,0.0
215363,239,1515.0,1.0
69263,1305,1214.0,1.0
366809,238,250.0,1.0
279052,683,1606.0,1.0
208682,1421,105.0,1.0
113541,1163,561.0,0.0
173065,1384,1458.0,1.0
229825,74,250.0,0.0
309706,806,1497.0,1.0
23681,1338,1278.0,0.0
148360,1312,713.0,0.0
394803,1567,1531.0,1.0
447661,1477,206.0,1.0
344445,1561,250.0,0.0
76941,1390,121.0,1.0
116886,1173,805.0,0.0
228068,1464,745.0,0.0
214345,209,293.0,0.0
403581,646,1606.0,0.0
378505,1645,1534.0,1.0
35163,1674,1420.0,1.0
171430,1173,805.0,0.0
120011,65,293.0,1.0
55112,209,293.0,0.0
370820,999,1621.0,0.0
38965,858,1426.0,1.0
122756,1535,727.0,0.0
9211,707,561.0,1.0
276622,1613,250.0,0.0
227427,1441,1566.0,1.0
292811,833,901.0,1.0
277082,707,561.0,1.0
277471,927,605.0,1.0
182860,1163,561.0,1.0
64747,191,1383.0,1.0
267593,1173,805.0,1.0
254200,304,1673.0,1.0
334601,1192,955.0,1.0
404138,330,986.0,0.0
12046,928,20.0,1.0
450641,782,1562.0,0.0
112566,1500,1515.0,1.0
48419,1163,561.0,0.0
156624,959,1095.0,0.0
294805,1244,500.0,1.0
118894,1666,1684.0,1.0
366977,1578,1249.0,0.0
227321,1233,1257.0,0.0
194386,1279,1606.0,0.0
463236,1279,1606.0,1.0
430953,1070,1423.0,1.0
379390,678,250.0,1.0
156552,124,104.0,1.0
246828,1613,250.0,0.0
170314,1279,1606.0,1.0
32581,1037,402.0,1.0
145112,1317,897.0,0.0
195474,844,1458.0,0.0
20463,619,145.0,1.0
85049,1205,580.0,0.0
109317,337,653.0,1.0
405934,959,1095.0,1.0
453347,1020,1329.0,1.0
402151,589,1308.0,1.0
90199,324,1145.0,0.0
21730,196,1667.0,0.0
389533,851,587.0,1.0
454467,959,1095.0,0.0
237039,343,1290.0,0.0
423941,1477,206.0,0.0
274898,239,1515.0,0.0
85914,928,20.0,1.0
245892,1388,1249.0,1.0
174231,1477,206.0,0.0
286396,84,1308.0,0.0
278412,342,500.0,0.0
196026,1087,622.0,0.0
8300,959,1095.0,1.0
140879,646,1606.0,1.0
380511,356,92.0,1.0
44329,936,143.0,1.0
429598,1387,933.0,1.0
247059,427,1313.0,1.0
248605,1098,897.0,1.0
375854,48,500.0,0.0
386092,494,768.0,1.0
383001,1089,1621.0,1.0
233737,371,1482.0,0.0
91839,716,1056.0,1.0
414460,1599,709.0,1.0
280255,1477,206.0,0.0
176019,84,1308.0,1.0
429571,1589,1426.0,0.0
22327,120,897.0,1.0
421874,1613,250.0,0.0
29725,84,1308.0,0.0
443088,1665,945.0,1.0
348431,1415,14.0,1.0
129734,1375,805.0,0.0
180483,1171,938.0,0.0
48892,1234,92.0,1.0
299915,406,872.0,1.0
238993,921,143.0,0.0
138616,962,945.0,0.0
152052,1483,561.0,0.0
202601,1188,1497.0,0.0
346080,1504,587.0,1.0
444712,342,500.0,1.0
154911,739,1181.0,1.0
254624,999,1621.0,0.0
156813,819,798.0,0.0
323381,1233,1257.0,1.0
240027,1265,1136.0,0.0
251381,799,920.0,1.0
71426,342,500.0,0.0
212917,1384,1458.0,1.0
24871,120,897.0,1.0
38057,1483,561.0,0.0
186673,833,901.0,0.0
77302,256,1257.0,1.0
298009,529,623.0,0.0
13417,914,226.0,1.0
368159,1135,1329.0,1.0
105632,196,1667.0,0.0
99491,1613,250.0,0.0
329229,1265,1136.0,0.0
148387,1172,810.0,0.0
211418,1642,121.0,1.0
234255,1051,955.0,1.0
140384,65,293.0,0.0
294482,1293,1323.0,0.0
381352,1240,1546.0,1.0
229749,1613,250.0,1.0
354263,65,293.0,0.0
187691,1344,713.0,1.0
355601,895,1499.0,0.0
252532,56,1497.0,0.0
50706,959,1095.0,0.0
452341,1279,1606.0,1.0
1022,1011,745.0,1.0
159430,471,1368.0,0.0
227161,1279,1606.0,1.0
238942,1509,620.0,1.0
349181,683,1606.0,0.0
158542,1343,25.0,0.0
436195,1090,648.0,1.0
334536,1247,593.0,1.0
328167,959,1095.0,0.0
209891,1305,1214.0,1.0
302112,282,113.0,0.0
135093,84,1308.0,1.0
466108,635,1229.0,1.0
75873,1248,1368.0,1.0
130709,1051,955.0,1.0
397509,1625,1141.0,1.0
133138,84,1308.0,0.0
436232,1674,1420.0,0.0
264335,706,713.0,0.0
133647,1650,1426.0,1.0
308741,818,852.0,0.0
218871,1051,955.0,0.0
328042,1403,440.0,1.0
357788,228,1482.0,1.0
69969,1626,340.0,1.0
351264,342,500.0,0.0
435710,847,101.0,1.0
168611,1322,252.0,1.0
449912,1051,955.0,1.0
104752,37,945.0,0.0
69799,242,1531.0,1.0
435618,360,1174.0,1.0
171814,1020,1329.0,1.0
188723,1051,955.0,1.0
359344,914,226.0,1.0
330647,1148,1696.0,1.0
390992,196,1667.0,1.0
81185,58,766.0,0.0
442706,333,1497.0,0.0
58638,1650,1426.0,0.0
271953,1672,1251.0,0.0
6395,209,293.0,0.0
116628,730,1482.0,0.0
379828,1051,955.0,1.0
195166,120,897.0,1.0
293039,1382,1502.0,1.0
107992,707,561.0,0.0
220136,1652,1368.0,0.0
219700,1070,1423.0,0.0
94230,279,777.0,0.0
254025,1375,805.0,0.0
193949,1675,1550.0,0.0
95732,304,1673.0,0.0
105196,479,520.0,0.0
214630,484,127.0,1.0
175574,1529,805.0,1.0
18303,64,206.0,1.0
341000,330,986.0,1.0
192772,1558,323.0,0.0
457058,1542,745.0,0.0
179271,1680,587.0,1.0
205814,1261,25.0,1.0
84292,703,1531.0,0.0
176189,1047,127.0,1.0
195444,1376,480.0,1.0
389428,209,293.0,0.0
158314,1344,713.0,1.0
157485,493,1331.0,0.0
145979,342,500.0,0.0
434782,239,1515.0,0.0
48030,1219,121.0,1.0
319344,1666,1684.0,0.0
271365,1628,605.0,1.0
444848,406,872.0,0.0
141240,1273,125.0,1.0
174878,589,1308.0,1.0
200659,819,798.0,0.0
448044,1051,955.0,1.0
190000,5,1637.0,1.0
322887,1051,955.0,1.0
232917,1529,805.0,1.0
157438,1135,1329.0,0.0
211850,1343,25.0,0.0
459936,789,14.0,1.0
392208,421,1424.0,1.0
146323,1338,1278.0,0.0
189727,1265,1136.0,0.0
67636,352,859.0,0.0
184511,619,145.0,0.0
215505,1248,1368.0,1.0
